ip,app,device,os,channel,click_time,attributed_time,is_attributed
173115,27,1,20,122,2017-11-07 00:26:52,,0
109703,8,1,19,145,2017-11-09 14:04:25,,0
81261,3,1,19,480,2017-11-09 14:07:33,,0
50169,18,1,18,107,2017-11-06 22:51:31,,0
89086,9,1,19,215,2017-11-06 23:16:21,,0
92615,15,1,19,130,2017-11-07 01:06:46,,0
92673,12,1,13,326,2017-11-06 23:34:16,,0
105603,3,1,19,417,2017-11-06 16:39:20,,0
66408,3,1,46,280,2017-11-07 03:20:11,,0
74814,15,1,25,265,2017-11-09 13:59:51,,0
136167,15,1,17,245,2017-11-06 17:47:10,,0
72371,13,1,19,400,2017-11-07 00:05:39,,0
182843,12,1,6,205,2017-11-06 16:51:41,,0
98510,28,1,13,135,2017-11-06 23:27:26,,0
201182,3,1,19,135,2017-11-07 00:30:44,,0
110768,2,1,10,243,2017-11-07 01:56:45,,0
48569,11,1,10,319,2017-11-09 14:24:55,,0
55090,3,1,19,280,2017-11-07 01:55:55,,0
143767,14,1,20,134,2017-11-06 16:11:28,,0
11347,3,1,19,205,2017-11-06 23:11:54,,0
68302,18,1,9,107,2017-11-07 03:35:28,,0
132480,15,1,19,140,2017-11-07 03:15:02,,0
130167,8,1,18,145,2017-11-07 00:28:13,,0
16784,14,1,22,480,2017-11-06 23:20:21,,0
124809,3,1,13,489,2017-11-07 00:58:24,,0
55142,2,1,6,452,2017-11-07 01:20:41,,0
198160,3,1,19,280,2017-11-07 00:51:52,,0
79528,15,1,13,130,2017-11-07 01:17:22,,0
75670,15,1,27,245,2017-11-06 23:27:10,,0
116552,18,1,17,107,2017-11-07 01:46:29,,0
59395,3,1,13,409,2017-11-09 13:07:22,,0
58432,18,1,13,121,2017-11-09 14:15:25,,0
26375,12,1,16,205,2017-11-06 16:21:03,,0
83348,1,1,15,134,2017-11-07 01:59:49,,0
48170,3,1,19,30,2017-11-09 14:48:40,,0
8111,9,1,17,127,2017-11-09 13:15:44,,0
204149,18,1,32,107,2017-11-07 01:33:54,,0
67611,1,1,40,134,2017-11-06 16:03:07,,0
100809,18,1,37,134,2017-11-07 00:21:36,,0
148890,15,1,27,245,2017-11-06 23:29:16,,0
17542,9,1,16,466,2017-11-09 14:38:14,,0
157583,14,1,10,416,2017-11-07 00:32:59,,0
112061,14,2,19,467,2017-11-09 13:10:56,,0
139765,12,1,22,205,2017-11-06 22:49:33,,0
19919,9,1,8,134,2017-11-07 03:32:43,,0
29267,18,1,19,121,2017-11-06 20:23:44,,0
63369,9,1,15,118,2017-11-07 00:36:51,,0
117867,6,1,9,459,2017-11-07 01:43:10,,0
97995,12,1,43,328,2017-11-07 01:56:23,,0
56977,2,1,19,122,2017-11-07 03:44:35,,0
56754,3,1,22,30,2017-11-09 14:46:06,,0
53479,18,1,8,121,2017-11-09 13:46:23,,0
55994,2,1,22,469,2017-11-06 23:27:03,,0
75644,19,16,0,213,2017-11-09 13:27:57,,0
121479,18,1,6,134,2017-11-06 23:12:21,,0
69136,2,1,19,469,2017-11-06 16:28:40,,0
38163,27,1,22,153,2017-11-06 16:13:46,,0
45236,2,2,43,205,2017-11-09 13:05:34,,0
272806,12,1,13,140,2017-11-09 14:00:10,,0
18942,15,1,37,130,2017-11-09 13:08:29,,0
209019,26,1,1,266,2017-11-07 01:57:35,,0
173611,12,1,20,424,2017-11-06 22:57:45,,0
40400,14,1,19,442,2017-11-07 03:18:09,,0
84774,18,1,43,107,2017-11-09 13:08:51,,0
136899,3,1,17,280,2017-11-07 00:48:09,,0
2027,3,1,19,442,2017-11-07 03:42:11,,0
40059,3,1,17,409,2017-11-07 03:37:08,,0
190640,3,1,8,115,2017-11-06 16:15:08,,0
80987,18,1,15,121,2017-11-06 18:48:52,,0
84888,12,1,22,340,2017-11-09 13:08:22,,0
146746,1,1,16,125,2017-11-06 21:44:28,,0
125401,3,1,22,205,2017-11-07 01:31:32,,0
41993,12,1,19,481,2017-11-06 16:20:17,,0
10719,12,1,19,245,2017-11-06 17:29:55,,0
123212,21,1,9,128,2017-11-07 01:32:23,,0
50482,13,1,13,477,2017-11-07 00:12:49,,0
98568,15,1,15,430,2017-11-07 00:41:30,,0
66845,1,1,28,153,2017-11-07 03:21:51,,0
68101,2,1,13,477,2017-11-07 03:20:34,,0
107161,21,1,19,128,2017-11-06 16:13:23,,0
48529,36,1,19,110,2017-11-06 16:07:56,,0
14475,18,1,13,107,2017-11-06 23:30:39,,0
203973,9,1,13,445,2017-11-09 14:52:27,,0
62094,9,1,13,234,2017-11-09 13:11:39,,0
93021,3,2,20,280,2017-11-06 16:06:13,,0
40440,14,1,25,349,2017-11-06 21:57:19,,0
173369,2,1,19,469,2017-11-07 03:15:56,,0
146965,64,1,13,459,2017-11-07 00:14:49,,0
43057,12,1,19,140,2017-11-07 01:40:18,,0
99075,14,1,13,134,2017-11-07 01:22:54,,0
208781,1,1,1,134,2017-11-07 01:07:45,,0
93897,18,1,19,107,2017-11-09 13:48:20,,0
81550,8,1,12,259,2017-11-09 14:55:08,,0
89086,8,1,18,145,2017-11-06 16:58:59,,0
66934,3,1,13,280,2017-11-07 00:20:55,,0
125895,12,1,13,328,2017-11-09 14:59:37,,0
42812,12,1,6,265,2017-11-07 00:17:36,,0
166892,26,1,19,121,2017-11-06 17:06:25,,0
93587,12,1,19,245,2017-11-06 16:29:43,,0
105569,2,1,13,205,2017-11-09 13:32:21,,0
75617,18,1,41,121,2017-11-06 16:55:06,,0
25591,9,1,19,127,2017-11-09 14:46:51,,0
23892,9,1,17,244,2017-11-09 14:11:03,,0
328075,14,1,19,379,2017-11-09 14:39:51,,0
69777,12,1,19,140,2017-11-07 03:31:24,,0
93266,14,1,13,349,2017-11-07 01:54:39,,0
93021,9,1,6,466,2017-11-09 13:15:30,,0
110143,3,1,19,280,2017-11-07 01:01:24,,0
142146,13,1,13,469,2017-11-06 16:13:08,,0
125312,9,1,13,134,2017-11-06 22:54:35,,0
42825,3,1,19,489,2017-11-07 00:36:27,,0
72279,9,1,25,215,2017-11-07 01:38:59,,0
15360,36,1,17,110,2017-11-06 18:31:27,,0
106795,21,1,18,128,2017-11-06 20:50:27,,0
187265,18,1,6,107,2017-11-07 00:11:04,,0
3964,18,1,13,121,2017-11-09 14:19:03,,0
70840,1,1,49,134,2017-11-06 22:46:12,,0
93587,12,1,13,178,2017-11-07 00:00:32,,0
98454,2,1,13,435,2017-11-06 18:57:03,,0
111122,3,1,3,115,2017-11-06 16:56:09,,0
14939,3,1,28,280,2017-11-07 02:04:06,,0
118315,18,1,53,134,2017-11-06 19:42:47,,0
183258,15,1,17,153,2017-11-07 00:48:54,,0
97309,3,1,20,489,2017-11-07 03:38:23,,0
23687,9,1,22,134,2017-11-06 16:00:43,,0
135517,1,3032,607,101,2017-11-06 22:22:58,,0
32600,12,1,13,205,2017-11-07 02:03:50,,0
44513,3,1,9,137,2017-11-06 18:19:02,,0
18624,6,1,19,125,2017-11-09 13:20:13,,0
28382,9,1,13,134,2017-11-06 21:24:27,,0
23102,3,1,20,489,2017-11-09 13:42:41,,0
187410,9,2,42,253,2017-11-09 13:31:16,,0
25588,2,1,23,205,2017-11-06 23:48:48,,0
27849,15,1,19,259,2017-11-06 19:45:45,,0
79857,2,1,1,452,2017-11-06 16:00:06,,0
73729,3,1,41,173,2017-11-06 20:40:34,,0
57886,2,1,6,435,2017-11-07 01:51:26,,0
110109,29,1,19,343,2017-11-09 14:07:32,,0
32788,22,1,12,496,2017-11-07 00:25:53,,0
119093,2,1,19,122,2017-11-07 00:35:45,,0
187668,3,1,13,173,2017-11-07 02:17:06,,0
47902,12,1,13,245,2017-11-07 00:21:18,,0
118975,2,1,17,377,2017-11-09 14:56:16,,0
93460,1,1,13,134,2017-11-07 00:04:23,,0
8144,12,1,9,178,2017-11-06 23:16:16,,0
185608,2,1,13,477,2017-11-06 19:35:35,,0
60111,18,1,19,107,2017-11-06 19:02:19,,0
53843,18,1,18,121,2017-11-07 01:35:01,,0
348464,3,1,12,205,2017-11-09 14:18:56,,0
186588,12,1,19,219,2017-11-07 01:33:36,,0
40821,3,1,19,137,2017-11-06 16:36:05,,0
27288,3,1,19,489,2017-11-07 00:45:21,,0
39238,3,1,17,489,2017-11-09 13:58:02,,0
133725,9,1,19,442,2017-11-07 01:57:30,,0
94916,18,1,10,107,2017-11-09 13:49:49,,0
150088,1,1,17,134,2017-11-07 01:48:41,,0
87696,12,1,10,265,2017-11-09 13:26:40,,0
23522,9,1,13,244,2017-11-09 13:42:10,,0
52043,9,1,14,234,2017-11-07 01:40:08,,0
91734,12,1,19,265,2017-11-06 22:07:22,,0
271744,9,1,18,466,2017-11-09 14:26:15,,0
71641,21,2,19,128,2017-11-06 23:57:57,,0
84403,18,1,13,107,2017-11-09 13:22:01,,0
31413,29,1,13,343,2017-11-06 22:43:27,,0
87748,15,1,13,278,2017-11-06 22:29:06,,0
93254,20,1,10,259,2017-11-09 14:41:36,,0
76243,12,1,26,265,2017-11-06 22:27:49,,0
115821,9,1,8,445,2017-11-07 03:33:25,,0
72164,23,1,19,153,2017-11-09 14:18:17,,0
132755,8,1,19,259,2017-11-09 13:42:11,,0
184036,3,1,15,211,2017-11-09 14:52:26,,0
239402,12,1,10,340,2017-11-09 14:32:52,,0
93917,9,1,13,134,2017-11-07 00:14:39,,0
11938,9,1,13,258,2017-11-09 13:45:00,,0
57276,12,1,19,140,2017-11-09 14:39:29,,0
152508,3,1,15,402,2017-11-06 22:03:21,,0
192398,9,1,19,134,2017-11-06 20:54:02,,0
172750,18,1,18,107,2017-11-07 01:19:52,,0
43142,2,1,16,237,2017-11-07 00:30:45,,0
193464,18,1,19,107,2017-11-07 01:58:42,,0
101532,21,1,19,128,2017-11-06 23:07:49,,0
150099,2,1,20,477,2017-11-06 16:44:58,,0
9955,1,1,14,13,2017-11-09 13:16:27,,0
7521,1,1,6,134,2017-11-07 00:54:27,,0
99754,160,1,19,457,2017-11-06 22:51:35,,0
151789,12,1,19,245,2017-11-07 01:12:59,,0
45143,18,1,19,439,2017-11-06 20:37:58,,0
106014,64,1,31,459,2017-11-07 03:28:48,,0
123889,1,1,36,134,2017-11-07 03:43:40,,0
6996,3,1,41,442,2017-11-07 00:45:57,,0
14764,12,1,25,178,2017-11-09 13:22:36,,0
147804,2,1,19,435,2017-11-07 02:23:43,,0
22664,3,1,19,130,2017-11-06 21:48:29,,0
110595,13,1,13,477,2017-11-07 03:28:09,,0
123843,9,1,18,232,2017-11-06 16:38:42,,0
51017,20,1,13,259,2017-11-06 17:26:08,,0
36434,15,1,19,245,2017-11-07 01:36:09,,0
92626,18,1,8,121,2017-11-06 23:31:38,,0
84226,3,1,10,280,2017-11-07 00:38:04,,0
209100,9,1,6,244,2017-11-06 17:31:06,,0
65977,20,1,17,259,2017-11-07 01:00:01,,0
29372,11,1,13,173,2017-11-09 14:40:17,,0
78961,15,1,13,140,2017-11-06 21:27:39,,0
195,2,1,19,237,2017-11-06 18:34:51,,0
69395,14,1,13,379,2017-11-06 17:29:34,,0
73516,12,2,6,326,2017-11-07 00:46:42,,0
169851,9,1,17,232,2017-11-07 01:48:38,,0
15696,15,1,3,245,2017-11-06 22:24:35,,0
87696,15,1,19,315,2017-11-06 23:45:47,,0
114235,2,1,19,435,2017-11-06 16:42:29,,0
26349,2,1,11,477,2017-11-06 16:22:11,,0
57786,15,1,13,245,2017-11-07 00:13:00,,0
144759,14,1,13,379,2017-11-07 01:40:15,,0
43068,12,1,8,178,2017-11-09 14:03:27,,0
37561,64,1,23,459,2017-11-06 16:47:24,,0
77803,1,1,10,118,2017-11-07 00:11:20,,0
5348,1,1,22,134,2017-11-09 14:03:07,,0
95340,12,1,13,178,2017-11-09 13:23:35,,0
31785,12,1,37,245,2017-11-06 23:38:39,,0
23509,18,3032,607,107,2017-11-07 00:45:58,,0
76278,14,1,18,480,2017-11-09 14:22:34,,0
193455,8,1,19,145,2017-11-07 00:41:33,,0
26777,3,1,13,211,2017-11-07 00:59:38,,0
61185,2,2,19,122,2017-11-06 18:44:51,,0
43827,15,1,13,480,2017-11-06 22:56:59,,0
18501,12,1,23,259,2017-11-09 14:57:43,,0
43752,2,1,8,237,2017-11-07 01:52:08,,0
32412,3,1,41,379,2017-11-07 01:10:29,,0
141746,9,1,18,118,2017-11-07 02:01:32,,0
18942,13,1,13,477,2017-11-09 13:21:33,,0
81674,8,1,58,145,2017-11-07 00:20:27,,0
29972,9,1,13,134,2017-11-07 00:32:02,,0
299636,9,1,37,442,2017-11-09 13:07:19,,0
175958,1,1,25,134,2017-11-07 03:49:33,,0
91618,1,1,37,134,2017-11-06 20:57:00,,0
39473,3,1,19,130,2017-11-07 02:09:17,,0
113711,2,1,19,452,2017-11-06 22:41:18,,0
77866,15,1,19,386,2017-11-07 02:03:46,,0
6710,18,1,32,107,2017-11-07 02:10:21,,0
9324,8,1,36,145,2017-11-06 21:17:08,,0
93021,8,2,13,145,2017-11-07 01:43:01,,0
124797,12,1,41,265,2017-11-07 01:46:17,,0
85503,20,1,13,259,2017-11-07 03:54:34,,0
100785,18,1,19,107,2017-11-07 00:22:55,,0
212720,8,1,18,145,2017-11-06 16:55:17,,0
75338,9,1,13,215,2017-11-07 00:01:55,,0
32637,3,1,19,489,2017-11-06 18:58:57,,0
5314,14,1,20,379,2017-11-06 16:31:05,,0
43793,3,1,13,280,2017-11-07 00:36:29,,0
119289,12,1,22,265,2017-11-09 13:59:52,,0
80634,6,1,12,459,2017-11-09 13:53:19,,0
168622,3,1,6,280,2017-11-07 03:48:50,,0
187415,6,1,19,459,2017-11-06 16:31:19,,0
26995,2,1,3,452,2017-11-09 14:01:28,,0
111005,9,1,28,442,2017-11-06 23:50:53,,0
77188,12,1,6,259,2017-11-06 16:59:00,,0
25905,12,1,13,265,2017-11-07 00:06:00,,0
32457,18,1,13,107,2017-11-07 03:57:13,,0
67456,12,1,19,122,2017-11-06 22:51:45,,0
122346,12,1,15,259,2017-11-09 13:31:51,,0
92352,1,1,19,178,2017-11-07 01:45:09,,0
5314,14,1,19,463,2017-11-07 01:34:18,,0
112302,28,1,19,317,2017-11-09 14:14:34,,0
117272,2,1,27,452,2017-11-07 03:37:24,,0
59032,14,1,19,442,2017-11-09 14:47:56,,0
265089,18,1,25,107,2017-11-09 13:06:28,,0
33777,15,1,13,245,2017-11-06 18:12:29,,0
98433,3,1,13,280,2017-11-07 00:54:17,,0
7178,2,1,22,243,2017-11-07 00:47:14,,0
100212,22,1,19,116,2017-11-07 03:27:37,,0
144967,20,1,19,259,2017-11-06 19:15:40,,0
64595,14,1,13,118,2017-11-07 00:44:36,,0
207164,12,1,3,265,2017-11-06 17:39:18,,0
98435,12,1,13,178,2017-11-06 17:22:57,,0
161521,2,1,19,477,2017-11-07 01:58:57,,0
56449,12,1,19,265,2017-11-06 23:12:09,,0
29357,2,1,16,219,2017-11-07 03:43:19,,0
176842,3,1,13,442,2017-11-09 14:32:04,,0
73933,3,1,13,173,2017-11-07 02:10:51,,0
69096,12,1,13,178,2017-11-09 13:13:51,,0
73233,29,1,18,343,2017-11-09 14:07:05,,0
204679,13,1,19,477,2017-11-06 21:35:04,,0
41757,1,1,31,349,2017-11-07 01:36:37,,0
48211,3,1,6,424,2017-11-07 00:07:34,,0
22804,12,1,17,19,2017-11-06 17:50:28,,0
83171,18,1,20,439,2017-11-07 01:37:20,,0
42936,12,1,13,178,2017-11-07 00:59:50,,0
151908,9,1,20,334,2017-11-07 01:57:31,,0
78827,151,0,24,347,2017-11-09 14:21:09,,0
187155,18,1,25,107,2017-11-09 14:26:44,,0
115840,12,1,8,178,2017-11-09 14:08:14,,0
59395,6,1,19,125,2017-11-09 14:11:21,,0
29845,15,1,13,140,2017-11-07 00:02:20,,0
34691,18,1,13,107,2017-11-06 17:53:49,,0
178295,12,1,17,140,2017-11-07 00:06:39,,0
48653,3,1,19,409,2017-11-07 00:32:51,,0
5348,21,1,19,128,2017-11-07 01:07:58,,0
11786,3,1,22,280,2017-11-07 03:46:41,,0
29624,18,3032,607,107,2017-11-07 01:54:01,,0
116562,26,1,32,121,2017-11-06 21:47:02,,0
108103,2,1,18,258,2017-11-09 14:14:26,,0
85489,9,1,16,127,2017-11-09 14:35:16,,0
114461,2,1,23,205,2017-11-07 01:47:41,,0
11253,12,1,18,497,2017-11-07 00:16:24,,0
5348,18,1,13,379,2017-11-09 14:14:31,,0
195539,2,1,13,435,2017-11-07 01:22:52,,0
6621,12,1,56,212,2017-11-09 14:05:13,,0
53479,9,2,13,258,2017-11-09 13:41:18,,0
4019,13,1,19,400,2017-11-09 13:46:56,,0
48212,15,1,18,245,2017-11-07 00:51:11,,0
38101,24,1,8,178,2017-11-07 03:46:55,,0
73506,18,1,19,121,2017-11-06 23:18:24,,0
27086,11,1,17,487,2017-11-09 14:20:04,,0
35617,1,1,30,137,2017-11-07 03:27:18,,0
209168,14,2,65,439,2017-11-06 17:57:58,,0
105484,18,1,27,439,2017-11-06 21:35:50,,0
108872,27,1,3,153,2017-11-09 13:24:07,,0
111886,2,1,19,469,2017-11-06 16:34:39,,0
182262,3,1,19,280,2017-11-07 03:39:34,,0
126400,13,1,19,477,2017-11-06 23:43:54,,0
69469,1,1,1,134,2017-11-06 21:56:28,,0
27233,3,1,13,424,2017-11-07 00:36:44,,0
58637,13,1,13,477,2017-11-06 23:56:43,,0
88281,12,1,13,340,2017-11-09 13:09:50,,0
109406,9,1,22,134,2017-11-07 00:28:46,,0
200168,8,2,19,259,2017-11-06 19:04:50,,0
93248,12,1,27,140,2017-11-06 23:45:32,,0
29865,27,1,13,153,2017-11-09 14:31:15,,0
119349,14,1,19,160,2017-11-09 13:48:00,,0
106035,14,1,2,489,2017-11-09 13:18:50,,0
15927,9,1,13,334,2017-11-07 00:13:53,,0
11752,14,1,12,379,2017-11-07 03:58:40,,0
180476,12,1,13,265,2017-11-06 23:54:08,,0
55030,3,1,13,137,2017-11-07 01:10:27,,0
57646,3,1,13,280,2017-11-06 16:20:08,,0
112302,15,1,8,3,2017-11-09 14:55:04,,0
120047,3,1,9,442,2017-11-06 18:00:44,,0
1659,25,1,19,259,2017-11-07 01:49:15,,0
87879,12,1,13,178,2017-11-07 01:21:30,,0
13737,1,1,13,115,2017-11-09 14:21:50,,0
121187,12,1,13,140,2017-11-06 23:40:13,,0
89475,12,1,13,178,2017-11-09 13:09:45,,0
69452,18,1,13,134,2017-11-09 14:01:24,,0
78961,2,1,13,258,2017-11-06 20:33:40,,0
109776,14,1,17,439,2017-11-09 14:19:06,,0
151658,1,1,13,137,2017-11-07 03:54:39,,0
152129,2,1,53,122,2017-11-06 19:02:56,,0
178036,26,1,11,121,2017-11-07 01:04:58,,0
42283,14,1,13,349,2017-11-07 03:19:17,,0
66176,15,1,40,153,2017-11-06 23:23:14,,0
109475,25,1,10,259,2017-11-06 23:48:25,,0
5597,3,1,13,173,2017-11-07 00:44:19,,0
13126,12,1,19,205,2017-11-07 01:40:01,,0
152580,2,1,37,219,2017-11-06 23:18:19,,0
86946,3,1,22,442,2017-11-09 13:14:29,,0
211080,3,1,13,19,2017-11-07 00:26:35,,0
70631,18,1,13,439,2017-11-06 22:34:27,,0
104397,9,1,19,127,2017-11-09 13:18:28,,0
191874,2,1,37,236,2017-11-06 22:50:03,,0
119848,15,1,3,140,2017-11-06 22:12:24,,0
37964,12,1,41,245,2017-11-06 22:38:15,,0
138726,9,1,16,244,2017-11-09 14:15:52,,0
210028,18,1,36,107,2017-11-07 00:28:38,,0
88284,2,1,13,469,2017-11-07 01:46:16,,0
149646,3,1,13,135,2017-11-09 13:11:09,,0
196372,14,1,13,379,2017-11-09 13:18:02,,0
32335,3,1,19,489,2017-11-06 23:36:09,,0
209663,2,1,13,205,2017-11-06 18:11:45,,0
134663,12,1,13,140,2017-11-07 03:34:11,,0
116836,9,1,19,134,2017-11-06 18:11:41,,0
18635,2,1,17,435,2017-11-06 23:01:37,,0
147863,64,1,9,459,2017-11-07 02:14:13,,0
23956,15,1,13,480,2017-11-07 00:04:16,,0
99989,3,1,7,371,2017-11-07 00:32:30,,0
17149,7,1,39,101,2017-11-09 14:29:21,,0
209663,15,1,13,245,2017-11-07 03:44:14,,0
210580,9,2,37,134,2017-11-09 13:32:57,,0
113050,12,1,19,178,2017-11-09 14:29:37,,0
161780,18,1,19,107,2017-11-09 14:54:29,,0
154699,12,1,13,140,2017-11-06 23:54:34,,0
96933,28,1,13,135,2017-11-06 18:23:29,,0
57351,2,1,20,377,2017-11-07 01:49:01,,0
134548,15,1,41,379,2017-11-06 18:59:39,,0
49431,25,1,8,259,2017-11-06 23:50:39,,0
20116,3,1,13,280,2017-11-07 01:19:06,,0
29453,18,1,10,107,2017-11-06 17:17:42,,0
22943,3,1,8,489,2017-11-06 22:22:36,,0
175268,9,1,18,134,2017-11-07 00:28:39,,0
44377,3,1,22,442,2017-11-07 03:35:12,,0
3279,14,1,20,379,2017-11-07 03:21:29,,0
2395,9,1,19,466,2017-11-09 13:27:13,,0
182841,8,1,16,259,2017-11-06 19:50:10,,0
49172,3,1,19,379,2017-11-09 13:07:44,,0
83171,3,1,19,173,2017-11-07 00:34:27,,0
332972,12,1,13,328,2017-11-09 14:32:13,,0
112525,3,1,28,466,2017-11-09 13:47:24,,0
156978,1,1,13,134,2017-11-07 01:31:09,,0
115445,2,1,13,477,2017-11-06 16:55:56,,0
99299,3,1,19,280,2017-11-07 01:01:01,,0
166564,6,1,13,125,2017-11-07 00:30:20,,0
122038,12,1,35,205,2017-11-09 14:38:20,,0
64022,9,1,9,134,2017-11-06 16:07:44,,0
114276,3,1,10,280,2017-11-07 02:20:30,,0
97425,5,1,17,377,2017-11-06 23:01:32,,0
344644,15,1,19,412,2017-11-09 14:08:13,,0
62245,15,1,19,111,2017-11-07 00:05:32,,0
99990,14,1,19,489,2017-11-06 22:50:12,,0
35687,18,1,13,134,2017-11-06 23:36:25,,0
172483,12,1,19,265,2017-11-07 02:16:00,,0
113731,9,1,17,134,2017-11-06 22:55:46,,0
147957,9,1,18,134,2017-11-07 00:49:40,,0
145308,18,1,13,439,2017-11-07 00:20:59,,0
92769,17,1,19,128,2017-11-09 13:55:26,,0
185670,15,1,19,130,2017-11-06 16:22:23,,0
48418,3,1,13,489,2017-11-07 00:11:17,,0
43255,3,1,37,379,2017-11-06 17:10:34,,0
160207,9,1,19,244,2017-11-06 20:01:38,,0
8225,11,1,19,481,2017-11-07 00:34:58,,0
6655,29,1,19,343,2017-11-09 14:14:04,,0
149155,29,1,6,213,2017-11-09 14:26:03,,0
26799,18,1,19,107,2017-11-06 23:51:30,,0
122604,18,1,11,107,2017-11-07 00:35:04,,0
90509,9,1,6,466,2017-11-09 14:00:51,,0
60314,2,1,19,205,2017-11-06 18:56:46,,0
60136,2,1,1,205,2017-11-09 13:56:43,,0
92352,18,1,3,107,2017-11-06 23:57:03,,0
28739,3,1,13,173,2017-11-07 03:26:17,,0
170032,3,1,13,489,2017-11-07 03:26:28,,0
55034,3,1,41,409,2017-11-06 22:52:51,,0
59170,3,1,19,480,2017-11-09 14:30:51,,0
21894,15,1,22,315,2017-11-07 03:56:54,,0
108207,9,1,13,442,2017-11-07 01:03:11,,0
61152,3,1,17,371,2017-11-07 01:22:39,,0
147757,9,1,10,134,2017-11-07 00:05:24,,0
81736,15,1,1,245,2017-11-06 16:34:16,,0
9886,3,1,19,489,2017-11-09 13:14:26,,0
169946,2,1,18,237,2017-11-07 00:13:35,,0
109742,64,1,13,459,2017-11-06 21:30:34,,0
48004,14,1,19,442,2017-11-06 16:18:44,,0
155213,3,1,9,19,2017-11-06 23:30:30,,0
26238,2,1,3,122,2017-11-09 13:33:54,,0
125204,12,1,22,277,2017-11-07 00:36:16,,0
24039,17,1,16,128,2017-11-09 14:38:35,,0
48282,3,1,13,30,2017-11-09 13:15:09,,0
19280,12,1,31,245,2017-11-06 17:00:28,,0
106143,12,1,13,265,2017-11-07 02:18:01,,0
98554,23,1,19,153,2017-11-07 03:18:36,,0
52052,2,1,22,205,2017-11-06 16:34:24,,0
41672,3,1,19,424,2017-11-09 14:26:51,,0
41425,9,1,14,127,2017-11-09 14:01:23,,0
